Region,Virus,WeekNumber,Week-end-date,tests,detections,positivity
Atlantic,SARS-CoV-2,35,2023-09-02,"2,110",357,16.9
Atlantic,SARS-CoV-2,36,2023-09-09,"2,346",474,20.2
Atlantic,SARS-CoV-2,37,2023-09-16,"2,567",478,18.6
Atlantic,SARS-CoV-2,38,2023-09-23,"2,775",510,18.4
Atlantic,SARS-CoV-2,39,2023-09-30,"3,126",708,22.6
Atlantic,SARS-CoV-2,40,2023-10-07,"3,544",865,24.4
Atlantic,SARS-CoV-2,41,2023-10-14,"3,583",743,20.7
Atlantic,SARS-CoV-2,42,2023-10-21,"3,493",688,19.7
Atlantic,SARS-CoV-2,43,2023-10-28,"3,095",549,17.7
Atlantic,SARS-CoV-2,44,2023-11-04,"2,965",531,17.9
Atlantic,SARS-CoV-2,45,2023-11-11,"3,122",628,20.1
Atlantic,SARS-CoV-2,46,2023-11-18,"3,186",716,22.5
Atlantic,SARS-CoV-2,47,2023-11-25,"3,490",780,22.3
Atlantic,SARS-CoV-2,48,2023-12-02,"3,648",802,22
Atlantic,SARS-CoV-2,49,2023-12-09,"3,654",737,20.2
Atlantic,SARS-CoV-2,50,2023-12-16,"4,065",756,18.6
Atlantic,SARS-CoV-2,51,2023-12-23,"4,353",688,15.8
Atlantic,SARS-CoV-2,52,2023-12-30,"4,234",621,14.7
Atlantic,SARS-CoV-2,1,2024-01-06,"4,471",567,12.7
Atlantic,SARS-CoV-2,2,2024-01-13,"4,333",519,12
Atlantic,SARS-CoV-2,3,2024-01-20,"3,750",399,10.6
Atlantic,SARS-CoV-2,4,2024-01-27,"3,784",359,9.5
Atlantic,SARS-CoV-2,5,2024-02-03,"3,908",342,8.8
Atlantic,SARS-CoV-2,6,2024-02-10,"3,499",308,8.8
Atlantic,SARS-CoV-2,7,2024-02-17,"3,185",284,8.9
Atlantic,SARS-CoV-2,8,2024-02-24,"3,098",255,8.2
Atlantic,SARS-CoV-2,9,2024-03-02,"2,992",210,7
Atlantic,SARS-CoV-2,10,2024-03-09,"3,112",231,7.4
Atlantic,SARS-CoV-2,11,2024-03-16,"3,346",231,6.9
Atlantic,SARS-CoV-2,12,2024-03-23,"3,206",248,7.7
Atlantic,SARS-CoV-2,13,2024-03-30,"2,831",194,6.9
Atlantic,SARS-CoV-2,14,2024-04-06,"2,964",178,6
Atlantic,SARS-CoV-2,15,2024-04-13,"3,243",207,6.4
Atlantic,SARS-CoV-2,16,2024-04-20,"2,970",193,6.5
Atlantic,SARS-CoV-2,17,2024-04-27,"2,790",210,7.5
Atlantic,SARS-CoV-2,18,2024-05-04,"2,984",176,5.9
Atlantic,SARS-CoV-2,19,2024-05-11,"2,788",215,7.7
Atlantic,SARS-CoV-2,20,2024-05-18,"2,828",241,8.5
Atlantic,SARS-CoV-2,21,2024-05-25,"2,731",211,7.7
Atlantic,SARS-CoV-2,22,2024-06-01,"2,577",190,7.4
Atlantic,SARS-CoV-2,23,2024-06-08,"2,565",266,10.4
Atlantic,SARS-CoV-2,24,2024-06-15,"2,251",207,9.2
Atlantic,SARS-CoV-2,25,2024-06-22,"2,083",174,8.4
Atlantic,SARS-CoV-2,26,2024-06-29,"2,138",220,10.3
Atlantic,SARS-CoV-2,27,2024-07-06,"2,315",252,10.9
Atlantic,SARS-CoV-2,28,2024-07-13,"2,351",303,12.9
Atlantic,SARS-CoV-2,29,2024-07-20,"2,527",308,12.2
Atlantic,SARS-CoV-2,30,2024-07-27,"2,230",289,13
Atlantic,SARS-CoV-2,31,2024-08-03,"2,333",317,13.6
Atlantic,SARS-CoV-2,32,2024-08-10,"2,523",357,14.1
Atlantic,SARS-CoV-2,33,2024-08-17,"2,458",334,13.6
Atlantic,SARS-CoV-2,34,2024-08-24,"2,615",433,16.6
Atlantic,Influenza,35,2023-09-02,984,0,0
Atlantic,Influenza,36,2023-09-09,"1,047",0,0
Atlantic,Influenza,37,2023-09-16,"1,216",1,0.1
Atlantic,Influenza,38,2023-09-23,"1,388",1,0.1
Atlantic,Influenza,39,2023-09-30,"1,403",3,0.2
Atlantic,Influenza,40,2023-10-07,"1,775",6,0.3
